,Category,,Associate,Bachelor’s,Categories
,,Certificates,,,
,,,,,to Include
Agriculture,,,,,01
Natural resources and conservation,,,,0.37%,03
Architecture,,,,0.56%,04
"Area, ethnic, and gender studies",,,,3.99%,05
Communication/journalism,,,,,09
Communication technologies,,,,,10
Computer and information sciences,,,,14.52%,11
Personal and culinary services,,,,,12
Education,,,,,13
Engineering,,,,14.15%,14
Engineering technologies,,,,,15
"Foreign languages, literatures, and linguistics",,,,4.08%,16
Family and consumer sciences,,,,,19
Law/legal studies,,,,,22
English,,,,4.50%,23
Liberal arts/general studies,,,,0.05%,24
Library science,,,,,25
Biological/life sciences,,,,6.64%,26
Mathematics and statistics,,,,6.50%,27
Military science and military technologies,,,,,28 and 29
Interdisciplinary studies,,,,2.18%,30
Parks and recreation,,,,,31
Philosophy and religious studies,,,,2.55%,38
Theology and religious vocations,,,,,39
Physical sciences,,,,3.02%,40
Science technologies,,,,,41
Psychology,,,,5.43%,42
Category,"Diploma/
Certificates",Associate,Bachelor’s,"CIP 2020
Categories
to Include"
"Homeland Security, law enforcement, firefighting, and protec-
tive services",,,,43
Public administration and social services,,,,44
Social sciences,,,22.32%,45
Construction trades,,,,46
Mechanic and repair technologies,,,,47
Precision production,,,,48
Transportation and materials moving,,,,49
Visual and performing arts,,,5.10%,50
Health professions and related programs,,,,51
Business/marketing,,,,52
History,,,4.04%,54
Other,,,,
